Brand,Year,Model,UsedOrNew,Transmission,EngineSize,DriveType,FuelType,FuelConsumptionPer100km,Kilometres,ExteriorColour,CylindersinEngine,BodyType,Seats,Price,City,State
Isuzu,2016,MU-X,USED,Automatic,3.0,4WD,Diesel,8.3,159107,Grey,4,SUV,7,36980,Earlville,QLD
BMW,2012,125I,USED,Automatic,2.0,Rear,Premium,6.4,86372,Black,4,Hatchback,5,19999,Bentley,WA
Ford,2012,Focus,USED,Manual,1.6,Front,Unleaded,6.2,113169,Grey,4,Hatchback,5,10790,Cairns,QLD
Hyundai,2022,I30,DEMO,Automatic,2.0,Front,Premium,8.2,2104,White,4,Sedan,5,51990,Cairns,QLD
Toyota,2020,Landcruiser,USED,Manual,4.5,4WD,Diesel,10.7,26942,White,8,Ute / Tray,5,94990,Osborne Park,WA
Mitsubishi,2022,Outlander,USED,Automatic,2.5,AWD,Unleaded,8.1,12289,White,4,SUV,7,58990,Bungalow,QLD
Kia,2019,Cerato,USED,Automatic,2.0,Front,Unleaded,7.4,82345,White,4,Sedan,5,20990,Bungalow,QLD
Jeep,2012,Grand,USED,Automatic,3.6,AWD,Premium,11.0,181271,Grey,6,SUV,5,21999,Bentley,WA
Hyundai,2018,Tucson,USED,Automatic,2.0,Front,Unleaded,7.9,64936,Silver,4,SUV,5,26990,Cairns City,QLD
Mitsubishi,2020,ASX,USED,Automatic,2.0,Front,Unleaded,7.6,82195,White,4,SUV,5,23488,Maddington,WA
Kia,2019,Sorento,USED,Automatic,2.2,AWD,Diesel,7.2,108764,Grey,4,SUV,7,35990,Bungalow,QLD
Mercedes-Benz,2015,Vito,USED,Automatic,2.1,Rear,Diesel,8.2,197792,Yellow,4,Commercial,2,19990,Bayswater,WA
Kia,2019,Sportage,USED,Automatic,2.0,Front,Unleaded,7.9,92723,White,4,SUV,5,26990,Parramatta Park,QLD
Holden,2016,Commodore,USED,Automatic,6.2,Rear,Premium,11.8,10000,Red,8,Sedan,5,74990,Rockingham,WA
Hyundai,2021,Tucson,USED,Automatic,2.0,AWD,Diesel,6.3,14815,White,4,SUV,5,49990,Cairns,QLD
Hyundai,2016,Tucson,USED,Automatic,2.0,Front,Unleaded,7.9,113227,White,4,SUV,5,22888,Morley,WA
Kia,2021,Carnival,USED,Automatic,3.5,Front,Unleaded,9.6,30910,White,6,Wagon,8,48990,Bungalow,QLD
Subaru,2015,Outback,USED,Automatic,2.5,AWD,Premium,7.3,122254,Black,4,SUV,5,24950,Melville,WA
Hyundai,2020,Kona,USED,Automatic,2.0,Front,Unleaded,7.2,56188,Silver,4,SUV,5,25990,Cairns City,QLD
Mini,2017,Countryman,USED,Automatic,2.0,Front,Premium,6.5,69000,Red,4,SUV,5,38790,Rockingham,WA
Renault,2021,Koleos,USED,Automatic,2.5,Front,Unleaded,8.1,26554,Red,4,SUV,5,29990,Bungalow,QLD
Nissan,2021,Navara,USED,Automatic,2.3,4WD,Diesel,8.1,48202,Black,4,Ute / Tray,5,69990,Bungalow,QLD
Toyota,2018,Fortuner,USED,Automatic,2.8,AWD,Diesel,8.6,36453,Black,4,SUV,7,52480,Rockingham,WA
Nissan,2020,Navara,USED,Automatic,2.3,4WD,Diesel,7.0,22982,White,4,Ute / Tray,5,56990,Bungalow,QLD
Hyundai,2019,Tucson,USED,Automatic,2.0,Front,Unleaded,7.9,64083,White,4,SUV,5,30990,Maddington,WA
Ford,2016,Kuga,USED,Automatic,2.0,AWD,Diesel,5.5,90808,White,4,SUV,5,20998,Morley,WA
Holden,2007,Commodore,USED,Automatic,3.6,Rear,Unleaded,11.0,131207,White,6,Sedan,5,8999,Westcourt,QLD
Kia,2019,Cerato,USED,Automatic,1.6,Front,Unleaded,6.8,84569,White,4,Sedan,5,28999,Rockingham,WA
Mitsubishi,2003,Pajero,USED,Automatic,3.2,4WD,Diesel,0.0,318206,White,4,SUV,7,11999,Westcourt,QLD
Lexus,2016,NX300H,USED,Automatic,2.5,AWD,Hybrid,5.7,68718,Silver,4,SUV,5,45990,Palmyra,WA
Suzuki,2020,Jimny,USED,Manual,1.5,4WD,Unleaded,6.9,33479,Green,4,SUV,4,37990,Bungalow,QLD
Hyundai,2016,Santa,USED,Automatic,2.2,AWD,Diesel,7.8,103216,Silver,4,SUV,7,29999,Rockingham,WA
Volkswagen,2012,Tiguan,USED,Automatic,2.0,AWD,Premium,8.8,190623,Grey,4,SUV,5,13650,Wagin,WA
Ford,2017,Focus,USED,Automatic,1.5,Front,Unleaded,6.2,52130,Blue,4,Hatchback,5,22999,Victoria Park,WA
Toyota,2006,Landcruiser,USED,Automatic,3.0,4WD,Diesel,12.6,278907,-,4,SUV,8,29990,Pinelands,NT
Subaru,2019,WRX,USED,Manual,2.0,AWD,Premium,9.2,32216,Blue,4,Sedan,5,42990,Berrimah,NT
Toyota,2015,Prius-C,USED,Automatic,1.5,Front,Hybrid,3.9,39807,White,4,Hatchback,5,26990,Osborne Park,WA
